Unnamed: 0,RequirementText
262,"The CISS shall not have any direct dependency to the physical parameters of the storage environment (such as disk type, connection type, Storage Area Network and protocol) provided by the NATO virtualised environment."
263,"The CISS shall not have any hardcoded URL, DNS or IP address settings."
264,"The CISS shall not have any hardcoded Universal Naming Convention (UNC) fornetwork resources, file path, drive letter, or similar storage location settings."
265,The CISS shall run successfully independent of environment regional settings.
266,The CISS User Interfaces (as defined in section 2. 5) shall be implemented as web-based applications and shall be able to be run in any Web Browser present on the Approved Fielded Product List (AFPL) at the time of deployment.
267,The CISS shall support load-balancing solutions as provided by NATO ITModernization (ITM) infrastructure as a service (IaaS).
268,"If the CISS includes any Free and Open Source Software (FOSS) components, then use of such components shall not limit the deployment or use of the CISS in any way."
269,The CISS shall support both HTTP and HTTPS.
270,The CISS shall be interoperable with remotely deployed CISS where all communication is routed through a SATCOM link that has large round-trip delay times.
271,The CISS shall support Efficient XML Interchange (EXI) for exchange of XMLdata over SATCOM links.
272,The CISS shall be delivered with an installation wizard enabling easy and correct installation.
273,The CISS installer should enable a fully automated and complete installationwithout requiring any manual user configuration steps.
274,The CISS shall when installing a CISS upgrade (newer version) automatically maintain/reuse all configuration settings from the existing CISS installation.
275,It shall be possible to perform the CISS installation from a remote location.
276,"The CISS installer shall detect, during installation, if the user has insufficient privileges required for installation ( folder or registry access)."
277,The CISS installer shall report the details of the access failure to the user before aborting the installation.
278,"The CISS installer shall detect and appropriately address issues of disk spaceand drives with ""not enough"" space prior to beginning installation."
279,The CISS installer shall detect and appropriately address a previous installation of the CISS.
280,"In this case, the installer shall notify the authorised user and prompt if the user wants to upgrade (in case the existing installation is of an earlier version), reinstall, repair or cancel, and proceed accordingly."
281,It shall be possible to install a new version of the CISS and configure the newly installed CISS to continue operating from an existing and populated CISS database and existing collection of associated stream files (see also [CISS-300]).
282,The video conditioning service providing DASH streaming to web clients (see section 2. 4) shall have its own separate installer that is separate and independent from the installer of the main CISS component.
283,The 99. 5% of the time the CISS software is installed and/or uninstalled the system shall comply with the Installation requirement defined in [CISS-290] through [CISS-298] without any failure.
284,"When replacing a previous version of the CISS, including the existing NATO CSD (Bridging Solution) of baseline Bravo. 1, the streams of the existing CSD stream server shall be imported/ migrated into the new CISS instance and the library identifier of the existing CSD stream server shall be adopted by the new CISS."
285,For other CSD stream server and client applications on the network the replacement of the existing CSD stream server with the new CISS shall be seamless (i. e. apart from a drop in connectivity during the replacement the switch shall not have any interoperability impact). all other CSD stream server and client applications shall automatically switch over to using the new CISS without needing any configuration changes.
286,When replacing the existing NATO CSD (Bridging Solution) stream server of baseline Bravo. 1 the CISS shall maintain interoperability.
287,The 99. 5% of the time the CISS software is installed and/or uninstalled the system shall comply with the Replaceability requirement defined in [CISS-300] through [CISS-302] without any failure. 1 the CISS shall maintain interoperability.
288,The 99. 5% of the time the CISS software is installed and/or uninstalled the system shall comply with the Replaceability requirement defined in [CISS-300] through [CISS-302] without any failure.
289,The video conditioning service (see section 2. 5% of its Operational time.
290,Use of any free and open-source software (FOSS) component shall not requirethe release of custom developed CISS source code.
